@relation german
@attribute CHK_ACCT {'<0','0<=X<200','>=200','unknown'}
@attribute DURATION real
@attribute HISTORY {'no credits taken','all credits at this bank paid back duly','existing credits paid back duly till now','delay in paying off in the past','critical account'}
@attribute PURPOSE {'EMPTY','NEW_CAR','USED_CAR','FURNITURE','RADIO/TV','EDUCATION','RETRAINING'}
@attribute AMOUNT real
@attribute SAV_ACCT {'<100','100<=X<500','500<=X<1000','>=1000','unknown'}
@attribute EMPLOYMENT {'unemployed','<1','1<=X<4','4<=X<7','>=7'}
@attribute INSTALL_RATE real
@attribute MARITIAL {'EMPTY','MALE_DIV','MALE_SINGLE','MALE_MAR'}
@attribute CO-APPLICANT { y , n }
@attribute GUARANTOR { y , n }
@attribute TIME_RES {'Dummy','<=1','1<X<=2','2<X<=3','>=4'}
@attribute REAL_ESTATE { y , n }
@attribute PROP_NONE { y , n }
@attribute AGE real
@attribute OTHER_INSTALL { y , n }
@attribute HOUSE {'EMPTY','RENT','OWN_RES'}
@attribute NUM_CREDITS real
@attribute JOB {'unemployed/ unskilled  - non-resident','unskilled - resident','skilled employee / official','management/ self-employed/highly qualified employee/ officer'}
@attribute NUM_DEPEND real
@attribute TELEPHONE { y , n }
@attribute FOREIGN { y , n }
@attribute class { good , bad }
@data
'<0',6,'critical account','RADIO/TV',1169,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,67,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'0<=X<200',48,'existing credits paid back duly till now','RADIO/TV',5951,'<100','1<=X<4',2,EMPTY,n,n,'1<X<=2',y,n,22,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'unknown',12,'critical account','EDUCATION',2096,'<100','4<=X<7',2,MALE_SINGLE,n,n,'2<X<=3',y,n,49,n,OWN_RES,1,'unskilled - resident',2,n,n,good
'<0',42,'existing credits paid back duly till now','FURNITURE',7882,'<100','4<=X<7',2,MALE_SINGLE,n,y,'>=4',n,n,45,n,EMPTY,1,'skilled employee / official',2,n,n,good
'<0',24,'delay in paying off in the past','NEW_CAR',4870,'<100','1<=X<4',3,MALE_SINGLE,n,n,'>=4',n,y,53,n,EMPTY,2,'skilled employee / official',2,n,n,bad
'unknown',36,'existing credits paid back duly till now','EDUCATION',9055,'unknown','1<=X<4',2,MALE_SINGLE,n,n,'>=4',n,y,35,n,EMPTY,1,'unskilled - resident',2,y,n,good
'unknown',24,'existing credits paid back duly till now','FURNITURE',2835,'500<=X<1000','>=7',3,MALE_SINGLE,n,n,'>=4',n,n,53,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',36,'existing credits paid back duly till now','USED_CAR',6948,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,35,n,RENT,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',3059,'>=1000','4<=X<7',2,MALE_DIV,n,n,'>=4',y,n,61,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'0<=X<200',30,'critical account','NEW_CAR',5234,'<100','unemployed',4,MALE_MAR,n,n,'1<X<=2',n,n,28,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,n,n,bad
